2024-11-19 16:51:09 - Ch1 = 0 Ch2 = 0 Ch3 = 0 Ch4 = 0 Ch5 = 0 Ch6 = 0
2024-11-19 16:51:09 - Current1: -4.42	Current2: -15.86	Current3: -6.09	Current4: -16.69
2024-11-19 16:51:09 - Current1: -6.57	Current2: -15.08	Current3: -6.38	Current4: -15.62
2024-11-19 16:51:09 - Current1: -9.51	Current2: -19.57	Current3: -11.56	Current4: -19.72
2024-11-19 16:51:09 - Current1: -16.79	Current2: -22.17	Current3: -17.57	Current4: -20.45
2024-11-19 16:51:09 - Current1: -18.94	Current2: -22.17	Current3: -19.43	Current4: -20.45
2024-11-19 16:51:09 - Current1: -20.01	Current2: -22.17	Current3: -20.50	Current4: -20.89
2024-11-19 16:51:09 - Current1: -20.80	Current2: -22.46	Current3: -21.29	Current4: -21.33
2024-11-19 16:51:10 - Current1: -21.43	Current2: -22.56	Current3: -21.73	Current4: -21.53
2024-11-19 16:51:10 - Current1: -21.92	Current2: -22.51	Current3: -22.21	Current4: -21.73
2024-11-19 16:51:10 - Current1: -22.31	Current2: -22.61	Current3: -22.61	Current4: -21.87
2024-11-19 16:51:10 - Current1: -22.65	Current2: -22.65	Current3: -22.85	Current4: -22.07
2024-11-19 16:51:10 - Current1: -22.95	Current2: -22.70	Current3: -23.09	Current4: -22.26
2024-11-19 16:51:10 - Current1: -23.19	Current2: -22.80	Current3: -23.34	Current4: -22.51
2024-11-19 16:51:10 - Current1: -23.39	Current2: -22.90	Current3: -23.48	Current4: -22.70
2024-11-19 16:51:10 - Current1: -23.58	Current2: -22.95	Current3: -23.39	Current4: -22.85
2024-11-19 16:51:10 - Current1: -23.68	Current2: -23.00	Current3: -23.78	Current4: -23.04
2024-11-19 16:51:10 - Current1: -23.83	Current2: -23.14	Current3: -23.88	Current4: -23.00
2024-11-19 16:51:10 - Current1: -23.92	Current2: -23.24	Current3: -23.97	Current4: -23.24
2024-11-19 16:51:10 - Current1: -24.02	Current2: -23.29	Current3: -24.02	Current4: -23.39
2024-11-19 16:51:10 - Current1: -24.12	Current2: -23.39	Current3: -24.07	Current4: -23.44
2024-11-19 16:51:10 - Current1: -24.07	Current2: -23.29	Current3: -24.12	Current4: -23.53
2024-11-19 16:51:11 - Current1: -24.22	Current2: -23.48	Current3: -24.22	Current4: -23.44
2024-11-19 16:51:11 - Current1: -24.22	Current2: -23.53	Current3: -24.22	Current4: -23.63
2024-11-19 16:51:11 - Current1: -24.27	Current2: -23.53	Current3: -24.27	Current4: -23.68
2024-11-19 16:51:11 - Current1: -24.32	Current2: -23.63	Current3: -24.22	Current4: -23.68
2024-11-19 16:51:11 - Current1: -24.32	Current2: -23.63	Current3: -24.32	Current4: -23.73
2024-11-19 16:51:11 - Current1: -24.32	Current2: -23.68	Current3: -24.32	Current4: -23.73
2024-11-19 16:51:11 - Current1: -24.27	Current2: -23.68	Current3: -24.32	Current4: -23.78
2024-11-19 16:51:11 - Current1: -24.36	Current2: -23.73	Current3: -24.36	Current4: -23.83
2024-11-19 16:51:11 - Current1: -24.36	Current2: -23.73	Current3: -24.36	Current4: -23.83
2024-11-19 16:51:11 - Current1: -24.36	Current2: -23.78	Current3: -24.36	Current4: -23.83
2024-11-19 16:51:11 - Current1: -24.41	Current2: -23.78	Current3: -24.12	Current4: -23.83
2024-11-19 16:51:11 - Current1: -24.32	Current2: -23.73	Current3: -24.41	Current4: -23.88
2024-11-19 16:51:11 - Current1: -24.41	Current2: -23.83	Current3: -24.41	Current4: -23.73
2024-11-19 16:51:11 - Current1: -24.36	Current2: -23.83	Current3: -24.41	Current4: -23.88
2024-11-19 16:51:12 - Current1: -24.41	Current2: -23.83	Current3: -24.41	Current4: -23.92
2024-11-19 16:51:12 - Current1: -24.41	Current2: -23.83	Current3: -24.32	Current4: -23.92
2024-11-19 16:51:12 - Current1: -24.41	Current2: -23.78	Current3: -24.41	Current4: -23.92
2024-11-19 16:51:12 - Current1: -24.41	Current2: -23.83	Current3: -24.41	Current4: -23.92
2024-11-19 16:51:12 - Current1: -24.41	Current2: -23.83	Current3: -24.41	Current4: -23.92
2024-11-19 16:51:12 - Current1: -24.41	Current2: -23.88	Current3: -24.41	Current4: -23.92
2024-11-19 16:51:12 - Current1: -24.46	Current2: -23.88	Current3: -24.41	Current4: -23.92
2024-11-19 16:51:12 - Current1: -24.46	Current2: -23.88	Current3: -24.41	Current4: -23.92
2024-11-19 16:51:12 - Current1: -24.41	Current2: -23.88	Current3: -24.17	Current4: -23.92
2024-11-19 16:51:12 - Current1: -24.36	Current2: -23.88	Current3: -24.41	Current4: -23.92
2024-11-19 16:51:12 - Current1: -24.46	Current2: -23.88	Current3: -24.46	Current4: -23.83
2024-11-19 16:51:12 - Current1: -24.41	Current2: -23.92	Current3: -24.41	Current4: -23.97
2024-11-19 16:51:12 - Current1: -24.46	Current2: -23.92	Current3: -24.41	Current4: -23.97
2024-11-19 16:51:13 - Current1: -24.46	Current2: -23.92	Current3: -24.41	Current4: -23.97
2024-11-19 16:51:13 - Current1: -24.36	Current2: -23.83	Current3: -24.41	Current4: -23.97
2024-11-19 16:51:13 - Current1: -24.46	Current2: -23.92	Current3: -24.46	Current4: -23.88
2024-11-19 16:51:13 - Current1: -24.41	Current2: -23.92	Current3: -24.41	Current4: -23.97
2024-11-19 16:51:13 - Current1: -24.46	Current2: -23.92	Current3: -24.46	Current4: -23.97
2024-11-19 16:51:13 - Current1: -24.41	Current2: -23.92	Current3: -24.36	Current4: -23.97
2024-11-19 16:51:13 - Current1: -24.51	Current2: -23.97	Current3: -24.46	Current4: -23.97
2024-11-19 16:51:13 - Current1: -24.41	Current2: -23.97	Current3: -24.41	Current4: -23.97
2024-11-19 16:51:13 - Current1: -24.41	Current2: -23.92	Current3: -24.46	Current4: -23.97
2024-11-19 16:51:13 - Current1: -24.46	Current2: -23.97	Current3: -24.46	Current4: -23.97
2024-11-19 16:51:13 - Current1: -24.46	Current2: -23.97	Current3: -24.46	Current4: -23.97
2024-11-19 16:51:13 - Current1: -24.46	Current2: -23.97	Current3: -24.46	Current4: -23.97
2024-11-19 16:51:13 - Current1: -24.41	Current2: -23.97	Current3: -24.17	Current4: -23.97
2024-11-19 16:51:13 - Current1: -24.36	Current2: -23.92	Current3: -24.46	Current4: -24.02
2024-11-19 16:51:14 - Current1: -24.46	Current2: -23.97	Current3: -24.46	Current4: -23.83
2024-11-19 16:51:14 - Current1: -24.41	Current2: -23.97	Current3: -24.46	Current4: -24.02
2024-11-19 16:51:14 - Current1: -24.46	Current2: -23.97	Current3: -24.46	Current4: -24.02
2024-11-19 16:51:14 - Current1: -24.46	Current2: -23.97	Current3: -24.41	Current4: -24.02
2024-11-19 16:51:14 - Current1: -24.46	Current2: -23.97	Current3: -24.46	Current4: -24.02
2024-11-19 16:51:14 - Current1: -24.46	Current2: -23.97	Current3: -24.46	Current4: -24.02
2024-11-19 16:51:14 - Current1: -24.41	Current2: -23.97	Current3: -24.46	Current4: -24.07
2024-11-19 16:51:14 - Current1: -24.51	Current2: -23.97	Current3: -24.51	Current4: -24.02
2024-11-19 16:51:14 - Current1: -24.46	Current2: -24.02	Current3: -24.46	Current4: -24.02
2024-11-19 16:51:14 - Current1: -24.46	Current2: -23.97	Current3: -24.46	Current4: -24.02
2024-11-19 16:51:14 - Current1: -24.51	Current2: -24.02	Current3: -24.22	Current4: -24.02
2024-11-19 16:51:14 - Current1: -24.41	Current2: -23.97	Current3: -24.46	Current4: -24.02
2024-11-19 16:51:14 - Current1: -24.51	Current2: -24.02	Current3: -24.46	Current4: -23.88
2024-11-19 16:51:14 - Current1: -24.46	Current2: -24.02	Current3: -24.46	Current4: -24.02
2024-11-19 16:51:15 - Current1: -24.46	Current2: -24.02	Current3: -24.46	Current4: -24.02
2024-11-19 16:51:15 - Current1: -24.51	Current2: -24.02	Current3: -24.46	Current4: -24.02
2024-11-19 16:51:15 - Current1: -24.36	Current2: -23.92	Current3: -24.46	Current4: -24.02
2024-11-19 16:51:15 - Current1: -24.46	Current2: -24.02	Current3: -24.51	Current4: -23.92
2024-11-19 16:51:15 - Current1: -24.41	Current2: -23.97	Current3: -24.46	Current4: -24.02
2024-11-19 16:51:15 - Current1: -24.51	Current2: -24.02	Current3: -24.46	Current4: -24.07
2024-11-19 16:51:15 - Current1: -24.46	Current2: -24.02	Current3: -24.41	Current4: -24.07
2024-11-19 16:51:15 - Current1: -24.46	Current2: -24.02	Current3: -24.46	Current4: -24.07
2024-11-19 16:51:15 - Current1: -24.46	Current2: -24.02	Current3: -24.46	Current4: -24.02
2024-11-19 16:51:15 - Current1: -24.41	Current2: -23.97	Current3: -24.46	Current4: -24.07
2024-11-19 16:51:15 - Current1: -24.46	Current2: -24.02	Current3: -24.46	Current4: -24.07
2024-11-19 16:51:15 - Current1: -24.46	Current2: -24.02	Current3: -24.46	Current4: -24.07
2024-11-19 16:51:15 - Current1: -24.46	Current2: -24.02	Current3: -24.46	Current4: -24.07
2024-11-19 16:51:15 - Current1: -24.46	Current2: -24.02	Current3: -24.22	Current4: -24.02
2024-11-19 16:51:16 - Current1: -24.41	Current2: -24.02	Current3: -24.46	Current4: -24.07
2024-11-19 16:51:16 - Current1: -24.46	Current2: -24.02	Current3: -24.51	Current4: -23.92
2024-11-19 16:51:16 - Current1: -24.41	Current2: -24.02	Current3: -24.46	Current4: -24.07
2024-11-19 16:51:16 - Current1: -24.46	Current2: -24.02	Current3: -24.46	Current4: -24.07
2024-11-19 16:51:16 - Current1: -24.51	Current2: -24.02	Current3: -24.41	Current4: -24.07
2024-11-19 16:51:16 - Current1: -24.46	Current2: -24.02	Current3: -24.46	Current4: -24.07
2024-11-19 16:51:16 - Current1: -24.46	Current2: -24.07	Current3: -24.46	Current4: -24.02
2024-11-19 16:51:16 - Current1: -24.46	Current2: -24.07	Current3: -24.46	Current4: -24.07
2024-11-19 16:51:16 - Front Right Angle: 65.00| Back Right Angle: 55.00| Front Left Angle:30.00| Back Left Angle: 60.00
2024-11-19 16:51:16 - Front Right Speed: 0| Back Right Speed: 0| Front Left Speed:0| Back Left Speed: 0
2024-11-19 16:51:16 - 
2024-11-19 16:51:16 - Current1: -24.46	Current2: -23.92	Current3: -24.46	Current4: -24.02
2024-11-19 16:51:16 - Ch1 = 0 Ch2 = 0 Ch3 = 0 Ch4 = 0 Ch5 = 0 Ch6 = 0
2024-11-19 16:51:16 - Current1: -24.46	Current2: -24.02	Current3: -24.46	Current4: -24.02
2024-11-19 16:51:16 - Current1: -24.41	Current2: -23.92	Current3: -24.46	Current4: -24.02
2024-11-19 16:51:17 - Current1: -24.46	Current2: -24.07	Current3: -24.46	Current4: -23.92
2024-11-19 16:51:17 - Current1: -24.46	Current2: -24.02	Current3: -24.51	Current4: -24.07
2024-11-19 16:51:17 - Current1: -24.46	Current2: -24.07	Current3: -24.46	Current4: -24.07
2024-11-19 16:51:17 - Current1: -24.46	Current2: -24.07	Current3: -24.41	Current4: -24.07
2024-11-19 16:51:17 - Current1: -24.46	Current2: -24.07	Current3: -24.46	Current4: -24.07
2024-11-19 16:51:17 - Current1: -24.46	Current2: -24.07	Current3: -24.51	Current4: -24.07
2024-11-19 16:51:17 - Current1: -24.41	Current2: -24.02	Current3: -24.46	Current4: -24.07
2024-11-19 16:51:17 - Current1: -24.46	Current2: -24.07	Current3: -24.51	Current4: -24.07
2024-11-19 16:51:17 - Current1: -24.51	Current2: -24.07	Current3: -24.46	Current4: -24.07
2024-11-19 16:51:17 - Current1: -24.46	Current2: -24.07	Current3: -24.46	Current4: -24.07
2024-11-19 16:51:17 - Current1: -24.46	Current2: -24.07	Current3: -24.22	Current4: -24.07
2024-11-19 16:51:17 - Current1: -24.41	Current2: -24.02	Current3: -24.46	Current4: -24.07
2024-11-19 16:51:17 - Current1: -24.46	Current2: -24.07	Current3: -24.51	Current4: -23.92
2024-11-19 16:51:17 - Current1: -24.46	Current2: -24.07	Current3: -24.46	Current4: -24.07
2024-11-19 16:51:18 - Current1: -24.46	Current2: -24.07	Current3: -24.51	Current4: -24.07
2024-11-19 16:51:18 - Current1: -24.46	Current2: -24.07	Current3: -24.41	Current4: -24.07
2024-11-19 16:51:18 - Current1: -24.46	Current2: -23.97	Current3: -24.46	Current4: -24.07
2024-11-19 16:51:18 - Current1: -24.51	Current2: -24.12	Current3: -24.51	Current4: -24.07
2024-11-19 16:51:18 - Current1: -24.46	Current2: -24.07	Current3: -24.46	Current4: -24.07
2024-11-19 16:51:18 - Current1: -24.46	Current2: -24.07	Current3: -24.46	Current4: -24.07
2024-11-19 16:51:18 - Current1: -24.51	Current2: -24.12	Current3: -24.46	Current4: -24.07
